name,slug,shortName,gender,userCount,nameCode,disabled,national,type,id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,primaryUniqueTournament.name,primaryUniqueTournament.slug,primaryUniqueTournament.primaryColorHex,primaryUniqueTournament.secondaryColorHex,primaryUniqueTournament.category.name,primaryUniqueTournament.category.slug,primaryUniqueTournament.category.sport.name,primaryUniqueTournament.category.sport.slug,primaryUniqueTournament.category.sport.id,primaryUniqueTournament.category.id,primaryUniqueTournament.category.flag,primaryUniqueTournament.category.alpha2,primaryUniqueTournament.userCount,primaryUniqueTournament.hasPerformanceGraphFeature,primaryUniqueTournament.id,primaryUniqueTournament.displayInverseHomeAwayTeams,manager.name,manager.slug,manager.shortName,manager.id,manager.country.alpha2,manager.country.name,venue.city.name,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text
San Lorenzo,san-lorenzo,San Lorenzo,M,20812,SLO,False,False,0,3201,San Lorenzo,-1948752000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Ruben Dario Insua,ruben-dario-insua,R. D. Insua,53700,AR,Argentina,Flores,Estadio Pedro Bidegain,47964,14324,AR,Argentina,AR,Argentina,#ff0000,#000033,#000033
Talleres,talleres,Talleres,M,16143,CAT,False,False,0,3210,Talleres,-1774224000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Javier Marcelo Gandolfi,javier-marcelo-gandolfi,J. M. Gandolfi,797223,AR,Argentina,Cordoba,Estadio Mario Alberto Kempes,57000,16068,AR,Argentina,AR,Argentina,#050040,#ffffff,#ffffff
River Plate,river-plate,River,M,97385,RIV,False,False,0,3211,River Plate,-2165011200,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Martín Demichelis,martin-demichelis,M. Demichelis,799563,AR,Argentina,Buenos Aires,Estadio Mâs Monumental,86049,1009,AR,Argentina,AR,Argentina,#ffffff,#ff0000,#ff0000
Defensa y Justicia,defensa-y-justicia,Def y Justicia,M,20288,DYJ,False,False,0,36839,Defensa y Justicia,-1097798400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Julio Vaccari,julio-vaccari,J. Vaccari,797406,AR,Argentina,Gobernador Julio A. Costa,Estadio Norberto Tomaghello,12000,12025,AR,Argentina,AR,Argentina,#ffff00,#339900,#339900
Godoy Cruz,godoy-cruz,Godoy Cruz,M,12555,GOD,,False,0,6074,Godoy Cruz,-1533254400,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Daniel Walter Oldra,daniel-walter-oldra,D. W. Oldra,292481,AR,Argentina,Mendoza,Estadio Malvinas Argentinas,40628,2249,AR,Argentina,AR,Argentina,#002593,#ffffff,#ffffff
Racing Club,racing-club,Racing,M,31894,RAC,False,False,0,3215,Racing Club,-2107209600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Sebastián Grazzini,sebastian-grazzini,S. Grazzini,802141,AR,Argentina,Buenos Aires,Estadio Presidente Perón,51389,1082,AR,Argentina,AR,Argentina,#00ccff,#ffffff,#ffffff
Boca Juniors,boca-juniors,Boca Juniors,M,112498,BOC,False,False,0,3202,Boca Juniors,-2043273600,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Mariano Herron,mariano-herron,M. Herron,798751,,,Buenos Aires,Alberto J. Armando,54000,572,AR,Argentina,AR,Argentina,#003399,#ffcc66,#ffcc66
Gimnasia y Esgrima,gimnasia-y-esgrima,Gimnasia,M,9635,GLP,False,False,0,3205,Gimnasia y Esgrima,-2605996800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Leonardo Carol Madelon,leonardo-carol-madelon,L. C. Madelon,784638,AR,Argentina,La Plata,Estadio Juan Carmelo Zerillo,21500,12003,AR,Argentina,AR,Argentina,#ffffff,#000033,#000033
Sarmiento,sarmiento,Sarmiento,M,6892,CAS,False,False,0,42338,Sarmiento,-1854144000,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Facundo Sava,facundo-sava,F. Sava,39701,AR,Argentina,Junin,Estadio Eva Perón,22000,8975,AR,Argentina,AR,Argentina,#006600,#006600,#006600
Lanús,lanus,Lanús,M,13117,LAN,False,False,0,3218,Lanús,-1735516800,Football,football,1,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,Football,football,1,48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,384,68,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,Argentina,argentina,Football,football,1,48,argentina,AR,57473,True,155,False,Ricardo Zielinski,ricardo-alberto-zielinsky,R. Zielinski,248853,AR,Argentina,Buenos Aires,Estadio Ciudad de Lanus,46619,981,AR,Argentina,AR,Argentina,#660033,#ffffff,#ffffff
