name,slug,shortName,gender,userCount,nameCode,national,type,id,fullName,foundationDateTimestamp,sport.name,sport.slug,sport.id,category.name,category.slug,category.sport.name,category.sport.slug,category.sport.id,category.id,category.flag,category.alpha2,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.userCount,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,primaryUniqueTournament.name,primaryUniqueTournament.slug,primaryUniqueTournament.category.name,primaryUniqueTournament.category.slug,primaryUniqueTournament.category.sport.name,primaryUniqueTournament.category.sport.slug,primaryUniqueTournament.category.sport.id,primaryUniqueTournament.category.id,primaryUniqueTournament.category.flag,primaryUniqueTournament.category.alpha2,primaryUniqueTournament.userCount,primaryUniqueTournament.hasPerformanceGraphFeature,primaryUniqueTournament.id,primaryUniqueTournament.displayInverseHomeAwayTeams,manager.name,manager.slug,manager.shortName,manager.id,manager.country.alpha2,manager.country.name,venue.city.name,venue.stadium.name,venue.stadium.capacity,venue.id,venue.country.alpha2,venue.country.name,country.alpha2,country.name,teamColors.primary,teamColors.secondary,teamColors.text,disabled
Nacional Potosí,nacional-potosi,Nacional Potosí,M,6640,CNP,False,0,47700,Nacional Potosí,-875232000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Flavio Robatto,flavio-robatto,F. Robatto,795839.0,AR,Argentina,Potosi,Estadio Victor Agustín Ugarte,32115.0,1046.0,BO,Bolivia,BO,Bolivia,#ffffff,#ffffff,#ffffff,
Bolívar,bolivar,Bolívar,M,22854,BOL,False,0,7059,Bolívar,-1411344000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Benat San Jose,benat-san-jose,B. S. Jose,787143.0,ES,Spain,La Paz,Estadio Hernando Siles,42000.0,984.0,BO,Bolivia,BO,Bolivia,#33ccff,#330066,#330066,False
Always Ready,always-ready,Always Ready,M,13798,ARE,False,0,268083,Always Ready,-1158796800.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Rodrigo Venegas,rodrigo-venegas,R. Venegas,798992.0,CL,Chile,El Alto,Estadio Municipal de El Alto,,25589.0,BO,Bolivia,BO,Bolivia,#ffffff,#cc252b,#cc252b,False
FC Libertad Gran Mamoré,fc-libertad-gran-mamore,Libertad Gran Mamoré,M,2226,LIB,False,0,423192,FC Libertad Gran Mamoré,,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,,,,,,,,,,,,,,,,,,,,,,,,,,,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,,,,,,,,,,,,,BO,Bolivia,#008000,#222226,#222226,
Blooming,blooming,Blooming,M,7233,BLO,False,0,6968,Blooming,-747014400.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Carlos Bustos,carlos-bustos,C. Bustos,789734.0,AR,Argentina,Santa Cruz de la Sierra,Estadio Ramon Tahuichi Aguilera,38000.0,1140.0,BO,Bolivia,BO,Bolivia,#0099ff,#ff0000,#ff0000,False
Jorge Wilstermann,jorge-wilstermann,Wilstermann,M,7649,JOW,False,0,7878,Jorge Wilstermann,-634435200.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Cristian Diaz,cristian-diaz,C. Diaz,786615.0,AR,Argentina,Cochabamba,Felix Capriles,35000.0,1195.0,BO,Bolivia,BO,Bolivia,#ffffff,#000033,#000033,
Palmaflor del Trópico,palmaflor-del-tropico,Palmaflor,M,3930,PAL,False,0,321264,Palmaflor del Trópico,1220832000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Joaquín Pérez,joaquin-perez,J. Pérez,800873.0,AR,Argentina,,,,,,,BO,Bolivia,#e4b23f,#00a056,#00a056,False
FC Universitario de Vinto,fc-universitario-de-vinto,Univ. de Vinto,M,2478,UVI,False,0,268082,FC Universitario de Vinto,1111536000.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Nacional B,nacional-b,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Nacional B,nacional-b,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,69.0,False,10601.0,False,0.0,62497.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Pablo Godoy,pablo-godoy,P. Godoy,796223.0,PY,Paraguay,,,,,,,BO,Bolivia,#ffffff,#e50412,#e50412,
The Strongest,the-strongest,The Strongest,M,22083,STR,False,0,32529,The Strongest,-1948147200.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Pablo Cabanillas,pablo-cabanillas,P. Cabanillas,801484.0,BO,Bolivia,La Paz,Estadio Hernando Siles,42000.0,984.0,BO,Bolivia,BO,Bolivia,#ffcc00,#000000,#000000,False
Oriente Petrolero,oriente-petrolero,Oriente,M,5875,ORP,False,0,33820,Oriente Petrolero,-446774400.0,Football,football,1,Bolivia,bolivia,Football,football,1,379,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1.0,379.0,bolivia,BO,6526.0,True,16736.0,False,192.0,4330.0,Division Profesional,division-profesional,Bolivia,bolivia,Football,football,1,379,bolivia,BO,6526,True,16736,False,Rodrigo Venegas,rodrigo-venegas,R. Venegas,798992.0,CL,Chile,Santa Cruz de la Sierra,Estadio Ramon Tahuichi Aguilera,38000.0,1140.0,BO,Bolivia,BO,Bolivia,#009900,#ffffff,#ffffff,False
