yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,appearances,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
1,43,1194,154,0,43.88,17,15,30,73,25,14,39.47,41.95,17,7.46,Ronie Carrillo,ronie-carrillo,191,873891,El Nacional,el-nacional,El Nacional,0,0,5254,#52b030,#52b030,#ffffff
2,2,1260,156,1,66.67,4,14,4,6,0,14,100.0,85.71,0,7.41,Brian Heras,brian-heras,17,877442,Delfín,delfin,Delfín,0,0,213638,#52b030,#52b030,#ffffff
6,10,2349,443,0,37.04,30,29,88,98,29,28,51.46,49.49,24,7.34,Joaquín Vergés,joaquin-verges,36,789939,Gualaceo SC,gualaceo-sc,Gualaceo SC,0,0,248196,#52b030,#52b030,#ffffff
6,5,1545,215,0,50.0,50,21,94,99,20,19,63.09,62.26,14,7.33,Mauro Díaz,mauro-diaz,44,42573,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
7,8,1902,320,0,57.14,37,29,88,96,33,21,51.46,51.89,27,7.29,Alexander Alvarado,alexander-alvarado,366,826826,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
0,18,1395,158,0,58.06,32,22,44,62,24,15,41.51,45.26,20,7.24,Michael Hoyos,michael-hoyos,138,105717,Independiente del Valle,independiente-del-valle,Independiente del Valle,0,0,39723,#52b030,#52b030,#ffffff
2,3,2070,155,0,75.0,6,23,6,9,0,23,75.0,75.0,0,7.22,Rafael Romo,rafael-romo,318,108832,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
2,8,1399,245,0,53.33,84,25,142,150,14,14,66.67,65.79,26,7.2,Rómulo Otero,romulo-otero,745,845323,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
8,21,2225,362,1,61.76,35,27,99,120,40,26,53.8,55.05,24,7.19,Facundo Martinez,facundo-martinez,16,33308,Universidad Católica del Ecuador,universidad-catolica-del-ecuador,Universidad Católica del Ecuador,0,0,21942,#52b030,#52b030,#ffffff
7,3,1461,319,1,33.33,27,24,57,60,10,17,50.44,49.18,22,7.19,Damián Díaz,damian-diaz,222,42454,Barcelona SC,barcelona-sc,Barcelona SC,0,0,5250,#52b030,#52b030,#ffffff
1,1,1935,219,0,50.0,1,22,2,3,0,21,66.67,60.0,0,7.19,Hernán Galíndez,hernan-galindez,232,588618,Aucas,aucas,Aucas,0,0,5249,#52b030,#52b030,#ffffff
5,33,1481,141,0,41.77,13,20,27,60,18,18,39.13,40.54,14,7.18,Jean Carlos Blanco,jean-carlos-blanco,58,1199361,Técnico Universitario,tecnico-universitario,Técnico Universitario,0,0,21941,#52b030,#52b030,#ffffff
2,1,2250,132,0,100.0,1,25,2,3,0,25,100.0,100.0,0,7.18,Alexander Domínguez,alexander-dominguez,296,33567,LDU,ldu,LDU,0,0,5257,#52b030,#52b030,#ffffff
