tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,clearances,dribbledPast,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
0,0,0,0,0,0,0,0,0,7.7,Danilo Fernandes,danilo-fernandes,135,145054,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,2,0,7.6,Pedro Morisco,pedro-morisco,16,1507616,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,0,5,1,0,0,0,19,0,7.5,John,john,237,840103,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
24,0,4,6,0,0,0,15,15,7.49,Raphael Veiga,raphael-veiga,7424,840020,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
25,0,9,1,0,0,0,35,14,7.45,Hulk,hulk,9558,34705,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,0,1,0,1,0,0,3,0,7.45,Caíque,caique,154,839514,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
1,0,1,6,0,0,0,19,0,7.33,Eduardo Bauermann,eduardo-bauermann,211,358530,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,0,1,0,0,0,0,2,0,7.3,Adriel,adriel,207,1106840,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,0,1,0,1,0,0,4,0,7.3,Léo Linck,leo-linck,112,1119887,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
5,0,1,6,0,0,0,0,7,7.29,Dudu,dudu,4022,147464,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
10,0,3,4,0,0,0,5,14,7.27,Luis Suárez,luis-suarez,67176,16943,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,0,1,0,1,0,0,0,0,7.27,Marcelo Lomba,marcelo-lomba,486,34141,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
16,0,1,3,0,0,0,29,10,7.26,Tiquinho Soares,tiquinho-soares,4253,789100,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
32,0,2,7,0,0,0,14,19,7.24,Giorgian De Arrascaeta,giorgian-de-arrascaeta,15068,333587,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
28,2,10,10,0,0,0,60,4,7.21,Robert Arboleda,robert-arboleda,1472,338937,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,0,8,0,0,0,0,12,0,7.21,Agustín Rossi,agustin-rossi,1358,1140986,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,0,5,0,3,0,0,16,0,7.21,Matheus Cunha,matheus-cunha,1562,1105835,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
15,0,1,6,0,0,0,0,13,7.2,Vitor Bueno,vitor-bueno,617,808785,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,0,1,0,0,0,0,1,0,7.2,Anderson,anderson,114,942061,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,1,0,0,0,0,2,0,7.2,Mauricio Kozlinski,mauricio-kozlinski,55,879859,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
0,0,1,0,0,0,0,2,0,7.2,Matheus Mendes,matheus-mendes,137,1018555,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
3,0,0,3,0,0,0,1,8,7.18,Moisés,moises,417,1046501,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
10,0,1,3,0,0,0,5,3,7.17,Alef Manga,manga-alef,501,954719,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
7,0,5,4,0,0,0,30,13,7.17,Pablo Vegetti,pablo-vegetti,2050,583974,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
19,0,4,10,0,0,0,71,3,7.16,Lucas Veríssimo,lucas-verissimo,1928,826343,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
50,0,13,25,0,0,0,19,28,7.15,Lucas Evangelista,lucas-evangelista,519,331397,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
39,0,4,17,0,0,0,16,19,7.15,Paulinho,paulinho,4253,885179,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
41,0,6,42,0,0,0,111,8,7.15,Mauricio Lemos,mauricio-lemos,549,385916,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
33,0,2,9,0,0,0,8,7,7.15,Lucas Silva,lucas-silva,524,245159,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
66,1,12,77,2,0,0,76,52,7.14,Juninho Capixaba,juninho-capixaba,549,870556,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
1,1,1,1,0,0,0,2,0,7.13,Fernando Miguel,fernando-miguel,202,358418,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
108,0,13,46,0,0,0,59,48,7.13,Marlon,marlon,537,870787,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,0,15,2,2,0,0,38,1,7.13,Cleiton,cleiton,343,844576,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
7,0,1,5,0,0,0,15,5,7.13,Jonathan Calleri,jonathan-calleri,4579,340519,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,0,14,1,0,0,0,35,0,7.12,Éverson,everson,602,870748,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
12,0,9,26,0,1,0,67,6,7.12,Luan,luan,687,250351,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
15,0,5,27,0,1,1,64,5,7.12,Léo Ortiz,leo-ortiz,542,869643,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
46,0,11,28,1,1,0,82,22,7.12,Léo Pereira,leo-pereira,1519,358548,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
42,1,14,21,0,0,0,138,7,7.12,Fabrício Bruno,fabricio-bruno,1268,840220,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
53,0,8,42,0,0,0,30,13,7.12,Mayke,mayke,845,273329,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,1,12,0,1,0,0,33,0,7.12,Fábio,fabio,808,17785,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
51,0,7,8,1,0,0,15,34,7.11,Jhon Arias,jhon-arias,2133,844096,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
3,0,9,1,1,0,0,40,3,7.11,Marcos Felipe,marcos-felipe,258,358524,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
37,0,5,7,0,1,0,16,13,7.11,Marcos Rocha,marcos-rocha,906,82576,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,2,14,0,1,0,0,30,1,7.11,Lucas Perri,lucas-perri,1386,871290,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
21,0,4,10,0,0,0,5,17,7.11,Cauly,cauly,824,255873,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
34,0,0,8,0,0,0,1,9,7.11,Adson,adson,1048,1105970,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
6,0,2,1,0,0,0,9,1,7.11,Róger Guedes,roger-guedes,5993,777341,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
0,0,0,3,0,0,0,12,0,7.1,Maurício Antônio,mauricio-antonio,33,583824,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,0,0,0,0,0,0,0,1,7.1,Felipe Jonatan,felipe-jonatan,325,931574,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
