bigChancesCreated,totalPasses,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,keyPasses,accurateLongBallsPercentage,accuratePasses,accurateOwnHalfPasses,accurateCrosses,passToAssist,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,rating,player.name,player.slug,player.userCount,player.id,team.name,team.slug,team.shortName,team.userCount,team.type,team.id,team.teamColors.primary,team.teamColors.secondary,team.teamColors.text
0,13,0,1,0,61.54,0,16.67,8,7,0,0,5,1,0.0,7.7,Danilo Fernandes,danilo-fernandes,134,145054,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,34,1,8,0,47.06,0,32.0,16,12,0,0,18,4,0.0,7.6,Pedro Morisco,pedro-morisco,14,1507616,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
0,186,5,33,0,66.13,0,34.38,123,107,0,0,63,16,0.0,7.5,John,john,237,840103,Internacional,internacional,Internacional,0,0,1966,#52b030,#52b030,#ffffff
11,918,324,55,7,83.22,76,62.5,764,238,70,2,154,596,33.33,7.49,Raphael Veiga,raphael-veiga,7398,840020,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
12,780,264,31,10,71.92,59,59.62,561,136,25,1,219,450,20.33,7.45,Hulk,hulk,9549,34705,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,35,1,4,0,42.86,0,16.67,15,14,0,0,20,1,0.0,7.45,Caíque,caique,145,839514,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,105,4,3,0,83.81,0,33.33,88,67,0,0,17,21,0.0,7.33,Eduardo Bauermann,eduardo-bauermann,212,358530,Santos,santos,Santos,0,0,1968,#52b030,#52b030,#ffffff
0,58,2,14,0,39.66,0,28.57,23,12,0,0,35,11,0.0,7.3,Adriel,adriel,206,1106840,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
0,108,8,25,0,50.0,0,31.65,54,36,0,0,54,18,0.0,7.3,Léo Linck,leo-linck,113,1119887,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
5,379,163,29,3,77.04,25,64.44,292,75,10,0,87,227,25.64,7.29,Dudu,dudu,4022,147464,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
10,990,360,29,11,71.92,48,59.18,712,184,1,0,278,529,3.33,7.27,Luis Suárez,luis-suarez,67022,16943,Grêmio,gremio,Grêmio,0,0,5926,#52b030,#52b030,#ffffff
0,83,0,17,0,68.67,1,39.53,57,50,0,0,26,7,0.0,7.27,Marcelo Lomba,marcelo-lomba,483,34141,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
2,631,155,35,4,71.63,31,72.92,452,158,5,0,179,299,38.46,7.26,Tiquinho Soares,tiquinho-soares,4264,789100,Botafogo,botafogo,Botafogo,0,0,1958,#52b030,#52b030,#ffffff
11,776,267,30,5,78.87,46,60.0,612,161,25,1,164,476,22.32,7.24,Giorgian De Arrascaeta,giorgian-de-arrascaeta,15044,333587,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
1,1114,35,55,0,89.5,2,51.4,997,749,0,0,117,248,0.0,7.21,Robert Arboleda,robert-arboleda,1469,338937,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,382,15,82,0,73.04,0,44.81,279,229,0,0,103,50,0.0,7.21,Agustín Rossi,agustin-rossi,1350,1140986,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
0,644,16,101,0,77.17,0,42.8,497,449,0,0,147,48,0.0,7.21,Matheus Cunha,matheus-cunha,1559,1105835,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
9,829,284,34,4,79.98,76,55.74,663,180,53,1,166,536,38.13,7.2,Vitor Bueno,vitor-bueno,604,808785,Athletico,athletico,Athletico,0,0,1967,#52b030,#52b030,#ffffff
0,15,2,2,0,73.33,0,40.0,11,9,0,0,4,2,0.0,7.2,Anderson,anderson,111,942061,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,14,0,0,0,78.57,0,0.0,11,11,0,0,3,0,0.0,7.2,Mauricio Kozlinski,mauricio-kozlinski,54,879859,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
0,62,1,21,0,58.06,1,45.65,36,21,0,0,26,15,0.0,7.2,Matheus Mendes,matheus-mendes,137,1018555,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
3,107,39,4,0,79.44,6,100.0,85,20,3,0,22,68,33.33,7.18,Moisés,moises,416,1046501,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
1,232,79,8,3,79.74,18,66.67,185,58,2,0,47,129,18.18,7.17,Alef Manga,manga-alef,499,954719,Coritiba,coritiba,Coritiba,0,0,1982,#52b030,#52b030,#ffffff
1,290,42,6,1,61.72,5,50.0,179,80,1,0,111,100,7.69,7.17,Pablo Vegetti,pablo-vegetti,2039,583974,Vasco da Gama,vasco-da-gama,Vasco da Gama,0,0,1974,#52b030,#52b030,#ffffff
2,732,38,38,2,89.75,3,67.86,657,453,0,0,75,204,0.0,7.16,Lucas Veríssimo,lucas-verissimo,1925,826343,Corinthians,corinthians,Corinthians,0,0,1957,#52b030,#52b030,#ffffff
9,1269,463,35,6,82.19,73,67.31,1043,283,48,0,226,808,28.57,7.15,Lucas Evangelista,lucas-evangelista,518,331397,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
2,965,311,18,2,82.69,35,81.82,798,247,3,0,167,554,16.67,7.15,Paulinho,paulinho,4227,885179,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
0,1244,87,133,0,83.6,2,53.41,1040,719,0,0,204,321,0.0,7.15,Mauricio Lemos,mauricio-lemos,550,385916,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
2,907,226,61,2,85.34,46,75.31,774,315,27,0,133,486,38.57,7.15,Lucas Silva,lucas-silva,521,245159,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
5,1683,421,115,1,79.44,57,61.83,1337,534,19,1,346,822,19.79,7.14,Juninho Capixaba,juninho-capixaba,532,870556,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,95,5,19,0,61.05,0,33.93,58,45,0,0,37,13,0.0,7.13,Fernando Miguel,fernando-miguel,200,358418,Fortaleza,fortaleza,Fortaleza,0,0,2020,#52b030,#52b030,#ffffff
4,1616,350,113,2,79.08,54,50.22,1278,576,42,0,338,744,25.77,7.13,Marlon,marlon,530,870787,Cruzeiro,cruzeiro,Cruzeiro,0,0,1954,#52b030,#52b030,#ffffff
0,833,42,178,0,63.27,0,36.93,527,423,0,0,306,104,0.0,7.13,Cleiton,cleiton,336,844576,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,253,89,4,2,67.59,13,80.0,171,43,4,0,82,132,36.36,7.13,Jonathan Calleri,jonathan-calleri,4570,340519,São Paulo,sao-paulo,São Paulo,0,0,1981,#52b030,#52b030,#ffffff
0,877,27,239,0,65.91,1,45.18,578,456,0,0,299,122,0.0,7.12,Éverson,everson,599,870748,Atlético Mineiro,atletico-mineiro,Atlético Mineiro,0,0,1977,#52b030,#52b030,#ffffff
1,1020,91,144,1,85.59,6,63.72,873,568,2,0,147,307,25.0,7.12,Luan,luan,685,250351,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,932,143,106,0,83.58,8,59.22,779,422,2,0,153,359,40.0,7.12,Léo Ortiz,leo-ortiz,540,869643,Red Bull Bragantino,red-bull-bragantino,Red Bull Bragantino,0,0,1999,#52b030,#52b030,#ffffff
0,1995,240,126,1,88.67,12,59.72,1769,1035,3,0,226,737,27.27,7.12,Léo Pereira,leo-pereira,1511,358548,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
1,2113,226,140,1,89.3,6,58.58,1887,1124,3,0,226,766,21.43,7.12,Fabrício Bruno,fabricio-bruno,1264,840220,Flamengo,flamengo,Flamengo,0,0,5981,#52b030,#52b030,#ffffff
11,1288,268,83,6,87.81,40,68.03,1131,559,30,0,157,602,27.03,7.12,Mayke,mayke,837,273329,Palmeiras,palmeiras,Palmeiras,0,0,1963,#52b030,#52b030,#ffffff
0,823,0,60,0,87.12,0,38.46,717,702,0,0,106,15,0.0,7.12,Fábio,fabio,810,17785,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
3,1301,490,16,7,85.78,51,43.24,1116,361,27,1,185,782,17.88,7.11,Jhon Arias,jhon-arias,2133,844096,Fluminense,fluminense,Fluminense,0,0,1961,#52b030,#52b030,#ffffff
0,965,27,230,0,66.11,0,42.05,638,491,0,0,327,147,0.0,7.11,Marcos Felipe,marcos-felipe,260,358524,Bahia,bahia,Bahia,0,0,1955,#52b030,#52b030,#ffffff
